# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --hazardsensitiveall --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,106,4,100,53,4,19,8,0,59,35,0,17,12,0,24,14,0,8,4,0,5,8,0,6,6,2.43065404892
apache1,393,6,110,57,5,31,14,0,59,35,0,22,16,0,29,20,0,11,6,0,8,9,0,12,12,6.07783389091
apache1,338,8,120,61,8,36,15,0,59,35,0,27,20,0,34,23,0,11,6,0,9,10,0,16,13,7.66546988487
apache1,413,4,120,61,4,19,8,0,59,35,0,40,26,0,21,13,0,8,4,0,5,8,0,6,6,2.80234408379
apache1,75,5,97,53,3,17,8,0,59,35,0,20,16,0,18,15,0,8,4,0,5,6,0,4,7,2.20195913315
apache1,341,6,120,61,6,37,16,0,59,35,0,27,19,0,34,22,0,11,6,0,8,9,0,18,14,8.59766507149
apache1,295,6,110,57,5,31,14,0,59,35,0,22,16,0,29,20,0,11,6,0,8,9,0,12,12,5.51068687439
apache1,188,3,100,53,3,19,8,0,59,35,0,22,14,0,19,12,0,8,4,0,6,6,0,5,7,2.76478409767
apache1,76,5,92,51,5,24,11,0,59,35,0,20,16,0,13,13,0,11,6,0,6,9,0,7,9,3.85030984879
apache1,144,4,110,57,4,20,9,0,59,35,0,20,15,0,31,19,0,8,4,0,7,8,0,5,7,2.51345610619
apache1,187,2,100,53,2,19,8,0,59,35,0,17,12,0,24,14,0,8,4,0,5,6,0,6,5,2.49041295052
apache1,381,6,110,57,5,27,13,0,59,35,0,31,23,0,20,15,0,11,6,0,11,11,0,5,7,4.5211391449
apache1,140,4,120,61,4,29,13,0,59,35,0,29,19,0,32,20,0,11,6,0,10,11,0,8,9,5.35596513748
apache1,294,6,110,57,5,30,14,0,59,35,0,22,16,0,29,20,0,11,6,0,9,10,0,10,11,6.28453803062
apache1,378,3,110,57,3,18,8,0,59,35,0,30,20,0,21,14,0,8,4,0,6,7,0,4,6,2.41279482841
apache1,281,4,124,61,4,23,11,0,59,35,0,20,15,0,45,29,0,8,4,0,5,7,0,10,10,3.34857296944
apache1,379,5,110,57,5,19,8,0,59,35,0,31,22,0,20,14,0,8,4,0,6,8,0,5,6,2.17466282845
apache1,420,4,110,57,4,19,8,0,59,35,0,29,19,0,22,13,0,8,4,0,5,8,0,6,6,2.5398979187
apache1,249,6,120,61,6,36,15,0,59,35,0,28,20,0,33,23,0,11,6,0,9,9,0,16,13,7.26286292076
apache2,15,5,102,55,3,13,7,0,65,38,0,17,15,0,20,19,0,4,2,0,8,7,0,1,6,1.8160340786
apache2,22,4,171,90,2,12,7,0,65,38,0,16,17,0,90,58,0,3,2,0,5,7,0,4,5,1.77147006989
apache2,19,4,171,90,4,13,7,0,65,38,0,14,13,0,92,61,0,3,2,0,6,7,0,4,7,2.06231594086
apache2,21,4,171,90,2,15,7,0,65,38,0,94,61,0,12,15,0,5,3,0,5,5,0,5,7,2.14224791527
apache2,20,4,171,90,2,13,7,0,65,38,0,90,58,0,16,17,0,3,2,0,3,5,0,7,7,2.07723903656
apache2,16,2,78,43,2,12,7,0,65,38,0,6,5,0,7,7,0,4,2,0,3,5,0,5,7,1.60875296593
apache2,17,4,102,55,2,14,7,0,65,38,0,21,18,0,16,12,0,4,2,0,6,7,0,4,5,1.83116793633
apache2,18,3,78,43,3,14,7,0,65,38,0,8,7,0,5,7,0,4,2,0,6,6,0,4,7,1.77003598213
bankaccount,5,5,98,22,5,87,21,0,37,16,0,35,13,0,26,12,0,30,15,0,33,20,0,24,19,40.2532689571
bankaccount,19,6,98,22,6,81,19,0,37,16,0,36,14,0,25,11,0,28,14,0,35,18,0,18,18,46.6271100044
bankaccount,16,6,99,22,6,84,20,0,37,16,0,36,14,0,26,12,0,28,14,0,34,19,0,22,20,37.8308720589
bankaccount,17,6,99,22,6,89,21,0,37,16,0,36,14,0,26,12,0,30,15,0,34,21,0,25,21,85.2504940033
bankaccount,18,7,99,22,7,88,21,0,37,16,0,36,14,0,26,12,0,30,15,0,35,21,0,23,21,53.4694900513
bluetooth,6,5,21,10,5,14,7,0,10,8,0,5,6,0,6,6,0,7,5,0,4,7,0,3,6,1.7403409481
pool,152,3,471,147,3,286,105,0,118,33,0,160,62,0,193,71,0,46,16,0,109,56,0,131,59,119.658449888
pool,146,4,471,147,4,274,105,0,118,33,0,182,71,0,171,62,0,46,16,0,105,63,0,123,58,117.979902029
pool,130,4,518,162,4,291,110,0,118,33,0,182,71,0,218,77,0,47,18,0,119,63,0,125,61,111.824620962
pool,131,4,518,162,4,290,109,0,118,33,0,182,71,0,218,77,0,45,17,0,112,63,0,133,60,242.194771051
pool,143,4,471,147,4,290,105,0,118,33,0,182,71,0,171,62,0,46,16,0,120,64,0,124,58,111.558255196
pool,149,3,471,147,3,283,105,0,118,33,0,160,62,0,193,71,0,46,16,0,108,56,0,129,60,109.138968945
pool,138,3,518,162,3,288,109,0,118,33,0,207,77,0,193,71,0,45,17,0,117,58,0,126,59,121.034998894
pool,137,3,518,162,3,289,110,0,118,33,0,207,77,0,193,71,0,47,18,0,119,59,0,123,60,106.463763952
deadlock,9,5,29,7,5,24,7,0,13,7,0,8,7,0,8,6,0,10,7,0,7,6,0,7,6,2.93603992462
