# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --hazardsensitiveraw --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,209,7,144,69,3,9,7,0,59,35,0,41,31,0,44,32,0,3,3,0,3,6,0,3,6,1.52062392235
apache1,78,3,110,57,3,11,7,0,59,35,0,20,14,0,31,19,0,4,4,0,3,6,0,4,6,1.66231203079
apache1,50,4,107,57,4,10,7,0,59,35,0,32,21,0,16,15,0,4,4,0,3,7,0,3,6,1.66769099236
apache1,417,4,110,57,4,16,11,0,59,35,0,29,21,0,22,15,0,6,6,0,7,10,0,3,6,2.84699201584
apache1,70,4,110,57,3,11,7,0,59,35,0,20,15,0,31,20,0,4,4,0,4,7,0,3,6,1.81444692612
apache1,239,8,140,69,4,9,7,0,59,35,0,36,27,0,45,32,0,3,3,0,3,7,0,3,6,1.48253202438
apache1,158,4,109,57,4,10,7,0,59,35,0,17,15,0,33,20,0,4,4,0,2,7,0,4,6,1.71823596954
apache1,83,3,97,53,3,10,7,0,59,35,0,20,14,0,18,15,0,4,4,0,3,6,0,3,6,1.48421096802
apache1,117,4,110,57,4,11,7,0,59,35,0,17,13,0,34,20,0,4,4,0,2,7,0,5,6,1.74699497223
apache1,108,5,110,57,2,16,11,0,59,35,0,17,14,0,34,21,0,6,6,0,1,6,0,9,9,2.5026011467
apache1,84,3,92,51,3,14,11,0,59,35,0,20,14,0,13,13,0,6,6,0,3,7,0,5,9,2.02294898033
apache1,408,4,99,53,4,10,7,0,59,35,0,18,15,0,22,13,0,4,4,0,2,7,0,4,6,1.57089877129
apache1,383,5,110,57,5,11,7,0,59,35,0,30,21,0,21,14,0,4,4,0,5,7,0,2,6,1.73567700386
apache1,404,4,94,51,4,14,11,0,59,35,0,13,13,0,22,13,0,6,6,0,4,10,0,4,7,2.25595211983
apache1,250,8,140,69,4,9,7,0,59,35,0,36,27,0,45,32,0,3,3,0,3,7,0,3,6,1.54500484467
apache1,353,4,110,57,4,16,11,0,59,35,0,29,21,0,22,15,0,6,6,0,7,10,0,3,6,2.50329995155
apache1,85,3,100,53,3,9,7,0,59,35,0,22,14,0,19,12,0,3,3,0,4,6,0,2,5,1.25299882889
apache1,407,4,99,53,4,14,11,0,59,35,0,18,17,0,22,14,0,6,6,0,5,10,0,3,6,2.18063688278
apache1,337,8,120,61,6,17,11,0,59,35,0,27,20,0,34,23,0,6,6,0,5,9,0,6,9,2.64694690704
apache1,274,7,144,69,5,11,7,0,59,35,0,39,32,0,46,31,0,4,4,0,3,7,0,4,6,1.86194109917
apache1,217,7,120,61,5,12,7,0,59,35,0,32,23,0,29,19,0,4,4,0,3,7,0,5,6,1.85141301155
apache1,16,5,120,61,3,12,7,0,59,35,0,32,20,0,29,20,0,4,4,0,6,7,0,2,5,1.92480897903
apache1,264,8,120,61,6,17,11,0,59,35,0,32,23,0,29,20,0,6,6,0,5,10,0,6,8,2.65092587471
apache1,282,4,124,61,4,11,7,0,59,35,0,20,16,0,45,30,0,4,4,0,3,7,0,4,6,1.78027391434
apache1,350,4,124,61,2,9,7,0,59,35,0,42,30,0,23,16,0,3,3,0,1,4,0,5,6,1.3206050396
apache1,269,7,120,61,7,17,11,0,59,35,0,32,22,0,29,19,0,6,6,0,6,10,0,5,8,2.82134819031
apache1,17,4,120,61,4,12,7,0,59,35,0,27,19,0,34,22,0,4,4,0,4,7,0,4,6,1.87817716599
apache1,156,4,110,57,3,11,7,0,59,35,0,20,15,0,31,20,0,4,4,0,4,7,0,3,6,1.89580702782
apache1,300,6,110,57,3,16,11,0,59,35,0,22,16,0,29,20,0,6,6,0,4,8,0,6,9,2.46267223358
apache1,268,6,120,61,6,17,11,0,59,35,0,32,23,0,29,19,0,6,6,0,5,10,0,6,8,2.86351394653
apache1,218,8,141,69,4,11,7,0,59,35,0,40,30,0,42,30,0,4,4,0,4,7,0,3,6,1.81458806992
apache1,307,8,110,57,3,16,11,0,59,35,0,22,17,0,29,20,0,6,6,0,3,8,0,7,9,2.56299209595
apache1,279,4,120,61,4,11,7,0,59,35,0,20,16,0,41,26,0,4,4,0,2,7,0,5,6,1.80919694901
apache1,215,6,107,57,6,16,11,0,59,35,0,33,22,0,15,14,0,6,6,0,5,10,0,5,8,2.49726200104
apache1,255,8,140,69,4,9,7,0,59,35,0,36,27,0,45,32,0,3,3,0,3,7,0,3,6,1.44302201271
apache1,344,6,109,57,6,16,11,0,59,35,0,16,15,0,34,21,0,6,6,0,3,9,0,7,9,2.61787009239
apache1,288,6,110,57,3,11,7,0,59,35,0,21,16,0,30,20,0,4,4,0,4,7,0,3,6,1.85064601898
apache1,419,4,110,57,4,16,11,0,59,35,0,30,22,0,21,16,0,6,6,0,8,10,0,2,6,2.47743010521
apache1,172,5,144,69,3,11,7,0,59,35,0,42,33,0,43,31,0,4,4,0,4,6,0,3,7,1.77339982986
apache1,290,4,110,57,3,11,7,0,59,35,0,22,16,0,29,19,0,4,4,0,4,7,0,3,6,1.7529489994
apache1,374,5,110,57,5,11,7,0,59,35,0,31,23,0,20,14,0,4,4,0,4,7,0,3,6,1.71160006523
apache1,352,4,110,57,4,9,7,0,59,35,0,27,20,0,24,15,0,3,3,0,2,7,0,4,6,1.34526109695
apache1,272,9,120,61,5,17,11,0,59,35,0,33,24,0,28,19,0,6,6,0,5,10,0,6,8,2.44770097733
apache1,351,6,110,57,6,11,7,0,59,35,0,27,21,0,24,15,0,4,4,0,3,7,0,4,6,1.81323599815
apache1,106,4,100,53,4,10,7,0,59,35,0,17,12,0,24,14,0,4,4,0,2,7,0,4,6,1.49597978592
apache1,393,6,110,57,5,16,11,0,59,35,0,22,16,0,29,20,0,6,6,0,4,8,0,6,9,2.77721095085
apache1,338,8,120,61,6,17,11,0,59,35,0,27,20,0,34,23,0,6,6,0,5,9,0,6,9,2.53800487518
apache1,413,4,120,61,4,11,7,0,59,35,0,40,26,0,21,13,0,4,4,0,3,7,0,4,6,2.120896101
apache1,75,5,97,53,3,9,7,0,59,35,0,20,16,0,18,15,0,4,4,0,3,6,0,2,6,1.49696087837
apache1,341,6,120,61,6,17,11,0,59,35,0,27,19,0,34,22,0,6,6,0,5,9,0,6,9,2.5663189888
apache1,295,6,110,57,5,16,11,0,59,35,0,22,16,0,29,20,0,6,6,0,4,8,0,6,9,2.75229096413
apache1,188,3,100,53,3,10,7,0,59,35,0,22,14,0,19,12,0,4,4,0,4,6,0,2,6,1.63147211075
apache1,76,5,92,51,3,14,11,0,59,35,0,20,16,0,13,13,0,6,6,0,3,7,0,5,9,2.57327699661
apache1,144,4,110,57,4,11,7,0,59,35,0,20,15,0,31,19,0,4,4,0,4,7,0,3,6,1.73042416573
apache1,187,2,100,53,2,9,7,0,59,35,0,17,12,0,24,14,0,3,3,0,2,5,0,4,5,1.15421199799
apache1,381,6,110,57,5,11,7,0,59,35,0,31,23,0,20,15,0,4,4,0,5,7,0,2,6,1.7991528511
apache1,140,4,120,61,4,12,7,0,59,35,0,29,19,0,32,20,0,4,4,0,4,7,0,4,6,1.92622208595
apache1,294,6,110,57,5,16,11,0,59,35,0,22,16,0,29,20,0,6,6,0,4,8,0,6,9,2.6828930378
apache1,378,3,110,57,3,11,7,0,59,35,0,30,20,0,21,14,0,4,4,0,4,6,0,3,6,1.80297398567
apache1,281,4,124,61,4,11,7,0,59,35,0,20,15,0,45,29,0,4,4,0,3,7,0,4,6,1.72971987724
